variety_id,variety_slug,category,usda_zone,indoor_sow_start,indoor_sow_end,outdoor_transplant_start,outdoor_transplant_end,direct_sow_start,direct_sow_end,harvest_start,harvest_end
1,cherokee-purple,tomato,1,May,May,July,August,,,September,August
1,cherokee-purple,tomato,2,April,May,June,July,,,September,September
1,cherokee-purple,tomato,3,April,April,June,July,,,September,October
1,cherokee-purple,tomato,4,March,April,June,June,,,September,October
1,cherokee-purple,tomato,5,March,March,May,June,,,August,October
1,cherokee-purple,tomato,6,March,March,May,June,,,August,October
1,cherokee-purple,tomato,7,February,March,April,May,,,July,September
1,cherokee-purple,tomato,8,February,February,April,May,,,July,September
1,cherokee-purple,tomato,9,January,January,March,April,,,June,August
1,cherokee-purple,tomato,10,January,January,February,March,,,May,July
1,cherokee-purple,tomato,11,January,January,January,February,,,April,June
1,cherokee-purple,tomato,12,January,January,January,February,,,April,June
1,cherokee-purple,tomato,13,January,January,January,February,,,April,June
2,better-boy,tomato,1,May,May,July,August,,,September,August
2,better-boy,tomato,2,April,May,June,July,,,September,September
2,better-boy,tomato,3,April,April,June,July,,,August,October
2,better-boy,tomato,4,March,April,June,June,,,August,October
2,better-boy,tomato,5,March,March,May,June,,,August,October
2,better-boy,tomato,6,March,March,May,June,,,July,September
2,better-boy,tomato,7,February,March,April,May,,,July,September
2,better-boy,tomato,8,February,February,April,May,,,June,August
2,better-boy,tomato,9,January,January,March,April,,,May,July
2,better-boy,tomato,10,January,January,February,March,,,May,July
2,better-boy,tomato,11,January,January,January,February,,,April,June
2,better-boy,tomato,12,January,January,January,February,,,April,June
2,better-boy,tomato,13,January,January,January,February,,,April,June
3,san-marzano,tomato,1,May,May,July,August,,,September,August
3,san-marzano,tomato,2,April,May,June,July,,,September,September
3,san-marzano,tomato,3,April,April,June,July,,,September,October
3,san-marzano,tomato,4,March,April,June,June,,,September,October
3,san-marzano,tomato,5,March,March,May,June,,,August,October
3,san-marzano,tomato,6,March,March,May,June,,,August,October
3,san-marzano,tomato,7,February,March,April,May,,,July,September
3,san-marzano,tomato,8,February,February,April,May,,,July,September
3,san-marzano,tomato,9,January,January,March,April,,,June,August
3,san-marzano,tomato,10,January,January,February,March,,,May,July
3,san-marzano,tomato,11,January,January,January,February,,,April,June
3,san-marzano,tomato,12,January,January,January,February,,,April,June
3,san-marzano,tomato,13,January,January,January,February,,,April,June
4,celebrity,tomato,1,May,May,July,August,,,September,August
4,celebrity,tomato,2,April,May,June,July,,,September,September
4,celebrity,tomato,3,April,April,June,July,,,August,October
4,celebrity,tomato,4,March,April,June,June,,,August,October
4,celebrity,tomato,5,March,March,May,June,,,July,September
4,celebrity,tomato,6,March,March,May,June,,,July,September
4,celebrity,tomato,7,February,March,April,May,,,July,September
4,celebrity,tomato,8,February,February,April,May,,,June,August
4,celebrity,tomato,9,January,January,March,April,,,May,July
4,celebrity,tomato,10,January,January,February,March,,,May,July
4,celebrity,tomato,11,January,January,January,February,,,April,June
4,celebrity,tomato,12,January,January,January,February,,,April,June
4,celebrity,tomato,13,January,January,January,February,,,April,June
5,brandywine,tomato,1,May,May,July,August,,,October,August
5,brandywine,tomato,2,April,May,June,July,,,September,September
5,brandywine,tomato,3,April,April,June,July,,,September,October
5,brandywine,tomato,4,March,April,June,June,,,August,October
5,brandywine,tomato,5,March,March,May,June,,,August,October
5,brandywine,tomato,6,March,March,May,June,,,August,October
5,brandywine,tomato,7,February,March,April,May,,,July,September
5,brandywine,tomato,8,February,February,April,May,,,July,September
5,brandywine,tomato,9,January,January,March,April,,,June,August
5,brandywine,tomato,10,January,January,February,March,,,May,July
5,brandywine,tomato,11,January,January,January,February,,,April,June
5,brandywine,tomato,12,January,January,January,February,,,April,June
5,brandywine,tomato,13,January,January,January,February,,,April,June
8,roma,tomato,1,May,May,July,August,,,September,August
8,roma,tomato,2,April,May,June,July,,,September,September
8,roma,tomato,3,April,April,June,July,,,August,October
8,roma,tomato,4,March,April,June,June,,,August,October
8,roma,tomato,5,March,March,May,June,,,August,October
8,roma,tomato,6,March,March,May,June,,,July,September
8,roma,tomato,7,February,March,April,May,,,July,September
8,roma,tomato,8,February,February,April,May,,,June,August
8,roma,tomato,9,January,January,March,April,,,May,July
8,roma,tomato,10,January,January,February,March,,,May,July
8,roma,tomato,11,January,January,January,February,,,April,June
8,roma,tomato,12,January,January,January,February,,,April,June
8,roma,tomato,13,January,January,January,February,,,April,June
9,cherry-belle,tomato,1,May,May,July,August,,,September,August
9,cherry-belle,tomato,2,April,May,June,July,,,September,September
9,cherry-belle,tomato,3,April,April,June,July,,,August,October
9,cherry-belle,tomato,4,March,April,June,June,,,August,October
9,cherry-belle,tomato,5,March,March,May,June,,,August,October
9,cherry-belle,tomato,6,March,March,May,June,,,July,September
9,cherry-belle,tomato,7,February,March,April,May,,,July,September
9,cherry-belle,tomato,8,February,February,April,May,,,June,August
9,cherry-belle,tomato,9,January,January,March,April,,,May,July
9,cherry-belle,tomato,10,January,January,February,March,,,May,July
9,cherry-belle,tomato,11,January,January,January,February,,,April,June
9,cherry-belle,tomato,12,January,January,January,February,,,April,June
9,cherry-belle,tomato,13,January,January,January,February,,,April,June
11,early-girl,tomato,1,May,May,July,August,,,September,August
11,early-girl,tomato,2,April,May,June,July,,,September,September
11,early-girl,tomato,3,April,April,June,July,,,August,October
11,early-girl,tomato,4,March,April,June,June,,,August,October
11,early-girl,tomato,5,March,March,May,June,,,July,September
11,early-girl,tomato,6,March,March,May,June,,,July,September
11,early-girl,tomato,7,February,March,April,May,,,July,September
11,early-girl,tomato,8,February,February,April,May,,,June,August
11,early-girl,tomato,9,January,January,March,April,,,May,July
11,early-girl,tomato,10,January,January,February,March,,,May,July
11,early-girl,tomato,11,January,January,January,February,,,April,June
11,early-girl,tomato,12,January,January,January,February,,,April,June
11,early-girl,tomato,13,January,January,January,February,,,April,June
12,big-beef,tomato,1,May,May,July,August,,,September,August
12,big-beef,tomato,2,April,May,June,July,,,September,September
12,big-beef,tomato,3,April,April,June,July,,,August,October
12,big-beef,tomato,4,March,April,June,June,,,August,October
12,big-beef,tomato,5,March,March,May,June,,,August,October
12,big-beef,tomato,6,March,March,May,June,,,July,September
12,big-beef,tomato,7,February,March,April,May,,,July,September
12,big-beef,tomato,8,February,February,April,May,,,June,August
12,big-beef,tomato,9,January,January,March,April,,,May,July
12,big-beef,tomato,10,January,January,February,March,,,May,July
12,big-beef,tomato,11,January,January,January,February,,,April,June
12,big-beef,tomato,12,January,January,January,February,,,April,June
12,big-beef,tomato,13,January,January,January,February,,,April,June
15,green-zebra,tomato,1,May,May,July,August,,,September,August
15,green-zebra,tomato,2,April,May,June,July,,,September,September
15,green-zebra,tomato,3,April,April,June,July,,,August,October
15,green-zebra,tomato,4,March,April,June,June,,,August,October
15,green-zebra,tomato,5,March,March,May,June,,,August,October
15,green-zebra,tomato,6,March,March,May,June,,,July,September
15,green-zebra,tomato,7,February,March,April,May,,,July,September
15,green-zebra,tomato,8,February,February,April,May,,,June,August
15,green-zebra,tomato,9,January,January,March,April,,,May,July
15,green-zebra,tomato,10,January,January,February,March,,,May,July
15,green-zebra,tomato,11,January,January,January,February,,,April,June
15,green-zebra,tomato,12,January,January,January,February,,,April,June
15,green-zebra,tomato,13,January,January,January,February,,,April,June
16,beefsteak,tomato,1,May,May,July,August,,,October,August
16,beefsteak,tomato,2,April,May,June,July,,,September,September
16,beefsteak,tomato,3,April,April,June,July,,,September,October
16,beefsteak,tomato,4,March,April,June,June,,,September,October
16,beefsteak,tomato,5,March,March,May,June,,,August,October
16,beefsteak,tomato,6,March,March,May,June,,,August,October
16,beefsteak,tomato,7,February,March,April,May,,,July,September
16,beefsteak,tomato,8,February,February,April,May,,,July,September
16,beefsteak,tomato,9,January,January,March,April,,,June,August
16,beefsteak,tomato,10,January,January,February,March,,,May,July
16,beefsteak,tomato,11,January,January,January,February,,,April,June
16,beefsteak,tomato,12,January,January,January,February,,,April,June
16,beefsteak,tomato,13,January,January,January,February,,,April,June
17,mortgage-lifter,tomato,1,May,May,July,August,,,October,August
17,mortgage-lifter,tomato,2,April,May,June,July,,,September,September
17,mortgage-lifter,tomato,3,April,April,June,July,,,September,October
17,mortgage-lifter,tomato,4,March,April,June,June,,,September,October
17,mortgage-lifter,tomato,5,March,March,May,June,,,August,October
17,mortgage-lifter,tomato,6,March,March,May,June,,,August,October
17,mortgage-lifter,tomato,7,February,March,April,May,,,July,September
17,mortgage-lifter,tomato,8,February,February,April,May,,,July,September
17,mortgage-lifter,tomato,9,January,January,March,April,,,June,August
17,mortgage-lifter,tomato,10,January,January,February,March,,,May,July
17,mortgage-lifter,tomato,11,January,January,January,February,,,April,June
17,mortgage-lifter,tomato,12,January,January,January,February,,,April,June
17,mortgage-lifter,tomato,13,January,January,January,February,,,April,June
18,stupice,tomato,1,May,May,July,August,,,September,August
18,stupice,tomato,2,April,May,June,July,,,September,September
18,stupice,tomato,3,April,April,June,July,,,August,October
18,stupice,tomato,4,March,April,June,June,,,August,October
18,stupice,tomato,5,March,March,May,June,,,August,October
18,stupice,tomato,6,March,March,May,June,,,July,September
18,stupice,tomato,7,February,March,April,May,,,July,September
18,stupice,tomato,8,February,February,April,May,,,June,August
18,stupice,tomato,9,January,January,March,April,,,May,July
18,stupice,tomato,10,January,January,February,March,,,May,July
18,stupice,tomato,11,January,January,January,February,,,April,June
18,stupice,tomato,12,January,January,January,February,,,April,June
18,stupice,tomato,13,January,January,January,February,,,April,June
19,black-krim,tomato,1,May,May,July,August,,,October,August
19,black-krim,tomato,2,April,May,June,July,,,September,September
19,black-krim,tomato,3,April,April,June,July,,,September,October
19,black-krim,tomato,4,March,April,June,June,,,September,October
19,black-krim,tomato,5,March,March,May,June,,,August,October
19,black-krim,tomato,6,March,March,May,June,,,August,October
19,black-krim,tomato,7,February,March,April,May,,,July,September
19,black-krim,tomato,8,February,February,April,May,,,July,September
19,black-krim,tomato,9,January,January,March,April,,,June,August
19,black-krim,tomato,10,January,January,February,March,,,May,July
19,black-krim,tomato,11,January,January,January,February,,,April,June
19,black-krim,tomato,12,January,January,January,February,,,April,June
19,black-krim,tomato,13,January,January,January,February,,,April,June
20,yellow-pear,tomato,1,May,May,July,August,,,October,August
20,yellow-pear,tomato,2,April,May,June,July,,,September,September
20,yellow-pear,tomato,3,April,April,June,July,,,September,October
20,yellow-pear,tomato,4,March,April,June,June,,,August,October
20,yellow-pear,tomato,5,March,March,May,June,,,August,October
20,yellow-pear,tomato,6,March,March,May,June,,,August,October
20,yellow-pear,tomato,7,February,March,April,May,,,July,September
20,yellow-pear,tomato,8,February,February,April,May,,,July,September
20,yellow-pear,tomato,9,January,January,March,April,,,June,August
20,yellow-pear,tomato,10,January,January,February,March,,,May,July
20,yellow-pear,tomato,11,January,January,January,February,,,April,June
20,yellow-pear,tomato,12,January,January,January,February,,,April,June
20,yellow-pear,tomato,13,January,January,January,February,,,April,June
21,rutgers,tomato,1,May,May,July,August,,,October,August
21,rutgers,tomato,2,April,May,June,July,,,September,September
21,rutgers,tomato,3,April,April,June,July,,,September,October
21,rutgers,tomato,4,March,April,June,June,,,August,October
21,rutgers,tomato,5,March,March,May,June,,,August,October
21,rutgers,tomato,6,March,March,May,June,,,August,October
21,rutgers,tomato,7,February,March,April,May,,,July,September
21,rutgers,tomato,8,February,February,April,May,,,July,September
21,rutgers,tomato,9,January,January,March,April,,,June,August
21,rutgers,tomato,10,January,January,February,March,,,May,July
21,rutgers,tomato,11,January,January,January,February,,,April,June
21,rutgers,tomato,12,January,January,January,February,,,April,June
21,rutgers,tomato,13,January,January,January,February,,,April,June
22,patio-princess,tomato,1,May,May,July,August,,,September,August
22,patio-princess,tomato,2,April,May,June,July,,,September,September
22,patio-princess,tomato,3,April,April,June,July,,,August,October
22,patio-princess,tomato,4,March,April,June,June,,,August,October
22,patio-princess,tomato,5,March,March,May,June,,,August,October
22,patio-princess,tomato,6,March,March,May,June,,,July,September
22,patio-princess,tomato,7,February,March,April,May,,,July,September
22,patio-princess,tomato,8,February,February,April,May,,,June,August
22,patio-princess,tomato,9,January,January,March,April,,,May,July
22,patio-princess,tomato,10,January,January,February,March,,,May,July
22,patio-princess,tomato,11,January,January,January,February,,,April,June
22,patio-princess,tomato,12,January,January,January,February,,,April,June
22,patio-princess,tomato,13,January,January,January,February,,,April,June
23,amish-paste,tomato,1,May,May,July,August,,,October,August
23,amish-paste,tomato,2,April,May,June,July,,,September,September
23,amish-paste,tomato,3,April,April,June,July,,,September,October
23,amish-paste,tomato,4,March,April,June,June,,,September,October
23,amish-paste,tomato,5,March,March,May,June,,,August,October
23,amish-paste,tomato,6,March,March,May,June,,,August,October
23,amish-paste,tomato,7,February,March,April,May,,,July,September
23,amish-paste,tomato,8,February,February,April,May,,,July,September
23,amish-paste,tomato,9,January,January,March,April,,,June,August
23,amish-paste,tomato,10,January,January,February,March,,,May,July
23,amish-paste,tomato,11,January,January,January,February,,,April,June
23,amish-paste,tomato,12,January,January,January,February,,,April,June
23,amish-paste,tomato,13,January,January,January,February,,,April,June
24,mountain-fresh-plus,tomato,1,May,May,July,August,,,October,August
24,mountain-fresh-plus,tomato,2,April,May,June,July,,,September,September
24,mountain-fresh-plus,tomato,3,April,April,June,July,,,September,October
24,mountain-fresh-plus,tomato,4,March,April,June,June,,,August,October
24,mountain-fresh-plus,tomato,5,March,March,May,June,,,August,October
24,mountain-fresh-plus,tomato,6,March,March,May,June,,,August,October
24,mountain-fresh-plus,tomato,7,February,March,April,May,,,July,September
24,mountain-fresh-plus,tomato,8,February,February,April,May,,,July,September
24,mountain-fresh-plus,tomato,9,January,January,March,April,,,June,August
24,mountain-fresh-plus,tomato,10,January,January,February,March,,,May,July
24,mountain-fresh-plus,tomato,11,January,January,January,February,,,April,June
24,mountain-fresh-plus,tomato,12,January,January,January,February,,,April,June
24,mountain-fresh-plus,tomato,13,January,January,January,February,,,April,June
25,surefire-red,tomato,1,May,May,July,August,,,September,August
25,surefire-red,tomato,2,April,May,June,July,,,August,September
25,surefire-red,tomato,3,April,April,June,July,,,August,October
25,surefire-red,tomato,4,March,April,June,June,,,August,October
25,surefire-red,tomato,5,March,March,May,June,,,July,September
25,surefire-red,tomato,6,March,March,May,June,,,July,September
25,surefire-red,tomato,7,February,March,April,May,,,June,August
25,surefire-red,tomato,8,February,February,April,May,,,June,August
25,surefire-red,tomato,9,January,January,March,April,,,May,July
25,surefire-red,tomato,10,January,January,February,March,,,April,June
25,surefire-red,tomato,11,January,January,January,February,,,March,May
25,surefire-red,tomato,12,January,January,January,February,,,March,May
25,surefire-red,tomato,13,January,January,January,February,,,March,May
26,bell-pepper-california-wonder,pepper,1,May,May,July,August,,,October,August
26,bell-pepper-california-wonder,pepper,2,April,May,June,July,,,September,September
26,bell-pepper-california-wonder,pepper,3,April,April,June,July,,,September,October
26,bell-pepper-california-wonder,pepper,4,March,April,June,June,,,August,October
26,bell-pepper-california-wonder,pepper,5,March,March,May,June,,,August,October
26,bell-pepper-california-wonder,pepper,6,March,March,May,June,,,August,October
26,bell-pepper-california-wonder,pepper,7,February,March,April,May,,,July,September
26,bell-pepper-california-wonder,pepper,8,February,February,April,May,,,July,September
26,bell-pepper-california-wonder,pepper,9,January,January,March,April,,,June,August
26,bell-pepper-california-wonder,pepper,10,January,January,February,March,,,May,July
26,bell-pepper-california-wonder,pepper,11,January,January,January,February,,,April,June
26,bell-pepper-california-wonder,pepper,12,January,January,January,February,,,April,June
26,bell-pepper-california-wonder,pepper,13,January,January,January,February,,,April,June
27,jalape-o-early-jalape-o,pepper,1,May,May,July,August,,,September,August
27,jalape-o-early-jalape-o,pepper,2,April,May,June,July,,,September,September
27,jalape-o-early-jalape-o,pepper,3,April,April,June,July,,,August,October
27,jalape-o-early-jalape-o,pepper,4,March,April,June,June,,,August,October
27,jalape-o-early-jalape-o,pepper,5,March,March,May,June,,,August,October
27,jalape-o-early-jalape-o,pepper,6,March,March,May,June,,,July,September
27,jalape-o-early-jalape-o,pepper,7,February,March,April,May,,,July,September
27,jalape-o-early-jalape-o,pepper,8,February,February,April,May,,,June,August
27,jalape-o-early-jalape-o,pepper,9,January,January,March,April,,,May,July
27,jalape-o-early-jalape-o,pepper,10,January,January,February,March,,,May,July
27,jalape-o-early-jalape-o,pepper,11,January,January,January,February,,,April,June
27,jalape-o-early-jalape-o,pepper,12,January,January,January,February,,,April,June
27,jalape-o-early-jalape-o,pepper,13,January,January,January,February,,,April,June
28,habanero-orange-habanero,pepper,1,May,May,July,August,,,October,August
28,habanero-orange-habanero,pepper,2,April,May,June,July,,,October,September
28,habanero-orange-habanero,pepper,3,April,April,June,July,,,September,October
28,habanero-orange-habanero,pepper,4,March,April,June,June,,,September,October
28,habanero-orange-habanero,pepper,5,March,March,May,June,,,September,October
28,habanero-orange-habanero,pepper,6,March,March,May,June,,,August,October
28,habanero-orange-habanero,pepper,7,February,March,April,May,,,August,October
28,habanero-orange-habanero,pepper,8,February,February,April,May,,,July,September
28,habanero-orange-habanero,pepper,9,January,January,March,April,,,June,August
28,habanero-orange-habanero,pepper,10,January,January,February,March,,,June,August
28,habanero-orange-habanero,pepper,11,January,January,January,February,,,May,July
28,habanero-orange-habanero,pepper,12,January,January,January,February,,,May,July
28,habanero-orange-habanero,pepper,13,January,January,January,February,,,May,July
29,banana-pepper-sweet-banana,pepper,1,May,May,July,August,,,October,August
29,banana-pepper-sweet-banana,pepper,2,April,May,June,July,,,September,September
29,banana-pepper-sweet-banana,pepper,3,April,April,June,July,,,September,October
29,banana-pepper-sweet-banana,pepper,4,March,April,June,June,,,August,October
29,banana-pepper-sweet-banana,pepper,5,March,March,May,June,,,August,October
29,banana-pepper-sweet-banana,pepper,6,March,March,May,June,,,August,October
29,banana-pepper-sweet-banana,pepper,7,February,March,April,May,,,July,September
29,banana-pepper-sweet-banana,pepper,8,February,February,April,May,,,July,September
29,banana-pepper-sweet-banana,pepper,9,January,January,March,April,,,June,August
29,banana-pepper-sweet-banana,pepper,10,January,January,February,March,,,May,July
29,banana-pepper-sweet-banana,pepper,11,January,January,January,February,,,April,June
29,banana-pepper-sweet-banana,pepper,12,January,January,January,February,,,April,June
29,banana-pepper-sweet-banana,pepper,13,January,January,January,February,,,April,June
30,cayenne-long-red-cayenne,pepper,1,May,May,July,August,,,October,August
30,cayenne-long-red-cayenne,pepper,2,April,May,June,July,,,September,September
30,cayenne-long-red-cayenne,pepper,3,April,April,June,July,,,September,October
30,cayenne-long-red-cayenne,pepper,4,March,April,June,June,,,August,October
30,cayenne-long-red-cayenne,pepper,5,March,March,May,June,,,August,October
30,cayenne-long-red-cayenne,pepper,6,March,March,May,June,,,August,October
30,cayenne-long-red-cayenne,pepper,7,February,March,April,May,,,July,September
30,cayenne-long-red-cayenne,pepper,8,February,February,April,May,,,July,September
30,cayenne-long-red-cayenne,pepper,9,January,January,March,April,,,June,August
30,cayenne-long-red-cayenne,pepper,10,January,January,February,March,,,May,July
30,cayenne-long-red-cayenne,pepper,11,January,January,January,February,,,April,June
30,cayenne-long-red-cayenne,pepper,12,January,January,January,February,,,April,June
30,cayenne-long-red-cayenne,pepper,13,January,January,January,February,,,April,June
31,poblano-ancho-poblano,pepper,1,May,May,July,August,,,September,August
31,poblano-ancho-poblano,pepper,2,April,May,June,July,,,September,September
31,poblano-ancho-poblano,pepper,3,April,April,June,July,,,August,October
31,poblano-ancho-poblano,pepper,4,March,April,June,June,,,August,October
31,poblano-ancho-poblano,pepper,5,March,March,May,June,,,August,October
31,poblano-ancho-poblano,pepper,6,March,March,May,June,,,July,September
31,poblano-ancho-poblano,pepper,7,February,March,April,May,,,July,September
31,poblano-ancho-poblano,pepper,8,February,February,April,May,,,June,August
31,poblano-ancho-poblano,pepper,9,January,January,March,April,,,May,July
31,poblano-ancho-poblano,pepper,10,January,January,February,March,,,May,July
31,poblano-ancho-poblano,pepper,11,January,January,January,February,,,April,June
31,poblano-ancho-poblano,pepper,12,January,January,January,February,,,April,June
31,poblano-ancho-poblano,pepper,13,January,January,January,February,,,April,June
32,serrano-tampiqueno,pepper,1,May,May,July,August,,,October,August
32,serrano-tampiqueno,pepper,2,April,May,June,July,,,September,September
32,serrano-tampiqueno,pepper,3,April,April,June,July,,,September,October
32,serrano-tampiqueno,pepper,4,March,April,June,June,,,August,October
32,serrano-tampiqueno,pepper,5,March,March,May,June,,,August,October
32,serrano-tampiqueno,pepper,6,March,March,May,June,,,August,October
32,serrano-tampiqueno,pepper,7,February,March,April,May,,,July,September
32,serrano-tampiqueno,pepper,8,February,February,April,May,,,July,September
32,serrano-tampiqueno,pepper,9,January,January,March,April,,,June,August
32,serrano-tampiqueno,pepper,10,January,January,February,March,,,May,July
32,serrano-tampiqueno,pepper,11,January,January,January,February,,,April,June
32,serrano-tampiqueno,pepper,12,January,January,January,February,,,April,June
32,serrano-tampiqueno,pepper,13,January,January,January,February,,,April,June
33,sweet-pepper-cubanelle,pepper,1,May,May,July,August,,,September,August
33,sweet-pepper-cubanelle,pepper,2,April,May,June,July,,,September,September
33,sweet-pepper-cubanelle,pepper,3,April,April,June,July,,,August,October
33,sweet-pepper-cubanelle,pepper,4,March,April,June,June,,,August,October
33,sweet-pepper-cubanelle,pepper,5,March,March,May,June,,,August,October
33,sweet-pepper-cubanelle,pepper,6,March,March,May,June,,,July,September
33,sweet-pepper-cubanelle,pepper,7,February,March,April,May,,,July,September
33,sweet-pepper-cubanelle,pepper,8,February,February,April,May,,,June,August
33,sweet-pepper-cubanelle,pepper,9,January,January,March,April,,,May,July
33,sweet-pepper-cubanelle,pepper,10,January,January,February,March,,,May,July
33,sweet-pepper-cubanelle,pepper,11,January,January,January,February,,,April,June
33,sweet-pepper-cubanelle,pepper,12,January,January,January,February,,,April,June
33,sweet-pepper-cubanelle,pepper,13,January,January,January,February,,,April,June
34,thai-hot-thai-dragon,pepper,1,May,May,July,August,,,October,August
34,thai-hot-thai-dragon,pepper,2,April,May,June,July,,,September,September
34,thai-hot-thai-dragon,pepper,3,April,April,June,July,,,September,October
34,thai-hot-thai-dragon,pepper,4,March,April,June,June,,,August,October
34,thai-hot-thai-dragon,pepper,5,March,March,May,June,,,August,October
34,thai-hot-thai-dragon,pepper,6,March,March,May,June,,,August,October
34,thai-hot-thai-dragon,pepper,7,February,March,April,May,,,July,September
34,thai-hot-thai-dragon,pepper,8,February,February,April,May,,,July,September
34,thai-hot-thai-dragon,pepper,9,January,January,March,April,,,June,August
34,thai-hot-thai-dragon,pepper,10,January,January,February,March,,,May,July
34,thai-hot-thai-dragon,pepper,11,January,January,January,February,,,April,June
34,thai-hot-thai-dragon,pepper,12,January,January,January,February,,,April,June
34,thai-hot-thai-dragon,pepper,13,January,January,January,February,,,April,June
35,shishito-japanese-shishito,pepper,1,May,May,July,August,,,September,August
35,shishito-japanese-shishito,pepper,2,April,May,June,July,,,September,September
35,shishito-japanese-shishito,pepper,3,April,April,June,July,,,August,October
35,shishito-japanese-shishito,pepper,4,March,April,June,June,,,August,October
35,shishito-japanese-shishito,pepper,5,March,March,May,June,,,August,October
35,shishito-japanese-shishito,pepper,6,March,March,May,June,,,July,September
35,shishito-japanese-shishito,pepper,7,February,March,April,May,,,July,September
35,shishito-japanese-shishito,pepper,8,February,February,April,May,,,June,August
35,shishito-japanese-shishito,pepper,9,January,January,March,April,,,May,July
35,shishito-japanese-shishito,pepper,10,January,January,February,March,,,May,July
35,shishito-japanese-shishito,pepper,11,January,January,January,February,,,April,June
35,shishito-japanese-shishito,pepper,12,January,January,January,February,,,April,June
35,shishito-japanese-shishito,pepper,13,January,January,January,February,,,April,June
36,anaheim-new-mexico-big-jim,pepper,1,May,May,July,August,,,October,August
36,anaheim-new-mexico-big-jim,pepper,2,April,May,June,July,,,September,September
36,anaheim-new-mexico-big-jim,pepper,3,April,April,June,July,,,September,October
36,anaheim-new-mexico-big-jim,pepper,4,March,April,June,June,,,August,October
36,anaheim-new-mexico-big-jim,pepper,5,March,March,May,June,,,August,October
36,anaheim-new-mexico-big-jim,pepper,6,March,March,May,June,,,August,October
36,anaheim-new-mexico-big-jim,pepper,7,February,March,April,May,,,July,September
36,anaheim-new-mexico-big-jim,pepper,8,February,February,April,May,,,July,September
36,anaheim-new-mexico-big-jim,pepper,9,January,January,March,April,,,June,August
36,anaheim-new-mexico-big-jim,pepper,10,January,January,February,March,,,May,July
36,anaheim-new-mexico-big-jim,pepper,11,January,January,January,February,,,April,June
36,anaheim-new-mexico-big-jim,pepper,12,January,January,January,February,,,April,June
36,anaheim-new-mexico-big-jim,pepper,13,January,January,January,February,,,April,June
37,ghost-pepper-bhut-jolokia,pepper,1,May,May,July,August,,,November,August
37,ghost-pepper-bhut-jolokia,pepper,2,April,May,June,July,,,October,September
37,ghost-pepper-bhut-jolokia,pepper,3,April,April,June,July,,,October,October
37,ghost-pepper-bhut-jolokia,pepper,4,March,April,June,June,,,September,October
37,ghost-pepper-bhut-jolokia,pepper,5,March,March,May,June,,,September,October
37,ghost-pepper-bhut-jolokia,pepper,6,March,March,May,June,,,September,November
37,ghost-pepper-bhut-jolokia,pepper,7,February,March,April,May,,,August,October
37,ghost-pepper-bhut-jolokia,pepper,8,February,February,April,May,,,August,October
37,ghost-pepper-bhut-jolokia,pepper,9,January,January,March,April,,,July,September
37,ghost-pepper-bhut-jolokia,pepper,10,January,January,February,March,,,June,August
37,ghost-pepper-bhut-jolokia,pepper,11,January,January,January,February,,,May,July
37,ghost-pepper-bhut-jolokia,pepper,12,January,January,January,February,,,May,July
37,ghost-pepper-bhut-jolokia,pepper,13,January,January,January,February,,,May,July
38,sweet-pepper-california-wonder,pepper,1,May,May,July,August,,,September,August
38,sweet-pepper-california-wonder,pepper,2,April,May,June,July,,,September,September
38,sweet-pepper-california-wonder,pepper,3,April,April,June,July,,,August,October
38,sweet-pepper-california-wonder,pepper,4,March,April,June,June,,,August,October
38,sweet-pepper-california-wonder,pepper,5,March,March,May,June,,,August,October
38,sweet-pepper-california-wonder,pepper,6,March,March,May,June,,,July,September
38,sweet-pepper-california-wonder,pepper,7,February,March,April,May,,,July,September
38,sweet-pepper-california-wonder,pepper,8,February,February,April,May,,,June,August
38,sweet-pepper-california-wonder,pepper,9,January,January,March,April,,,May,July
38,sweet-pepper-california-wonder,pepper,10,January,January,February,March,,,May,July
38,sweet-pepper-california-wonder,pepper,11,January,January,January,February,,,April,June
38,sweet-pepper-california-wonder,pepper,12,January,January,January,February,,,April,June
38,sweet-pepper-california-wonder,pepper,13,January,January,January,February,,,April,June
39,fish-pepper,pepper,1,May,May,July,August,,,October,August
39,fish-pepper,pepper,2,April,May,June,July,,,September,September
39,fish-pepper,pepper,3,April,April,June,July,,,September,October
39,fish-pepper,pepper,4,March,April,June,June,,,September,October
39,fish-pepper,pepper,5,March,March,May,June,,,August,October
39,fish-pepper,pepper,6,March,March,May,June,,,August,October
39,fish-pepper,pepper,7,February,March,April,May,,,July,September
39,fish-pepper,pepper,8,February,February,April,May,,,July,September
39,fish-pepper,pepper,9,January,January,March,April,,,June,August
39,fish-pepper,pepper,10,January,January,February,March,,,May,July
39,fish-pepper,pepper,11,January,January,January,February,,,April,June
39,fish-pepper,pepper,12,January,January,January,February,,,April,June
39,fish-pepper,pepper,13,January,January,January,February,,,April,June
40,chocolate-habanero,pepper,1,May,May,July,August,,,October,August
40,chocolate-habanero,pepper,2,April,May,June,July,,,October,September
40,chocolate-habanero,pepper,3,April,April,June,July,,,September,October
40,chocolate-habanero,pepper,4,March,April,June,June,,,September,October
40,chocolate-habanero,pepper,5,March,March,May,June,,,September,October
40,chocolate-habanero,pepper,6,March,March,May,June,,,August,October
40,chocolate-habanero,pepper,7,February,March,April,May,,,August,October
40,chocolate-habanero,pepper,8,February,February,April,May,,,July,September
